source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-laura-ingrahams-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/alliance-defending-freedom/right-wing-groups-are-using-same-playbook-against-covid-19-measures
https://www.mediamatters.org/	https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-moment-definitely-not-about-black-lives-and-remember-when-they-come
https://www.mediamatters.org/	https://www.mediamatters.org/
https://www.mediamatters.org/	https://www.mediamatters.org/qanon-conspiracy-theory/qanon-followers-melt-down-after-k-pop-fans-take-over-their-hashtag
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/broadcast-and-cable-news-are-ignoring-brazen-big-polluter-agenda-happening
https://www.mediamatters.org/	https://www.mediamatters.org/contact-us
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/rush-limbaugh/rush-limbaugh-praises-president-being-clever-sharing-conspiracy-theories
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/anti-abortion-talking-point-about-congress-coronavirus-bills-spreads-fox-news
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-returns-fox-news-advertisers-are-staying-away
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/mark-zuckerberg-hypocrite-and-trumpist
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-figures-lash-out-republicans-refusing-back-trump-reelection
https://www.mediamatters.org/	https://www.mediamatters.org/jeanine-pirro/these-are-jeanine-pirros-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-guest-blacks-past-were-exploited-democrats-labor-now-theyre-being-exploited-votes
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/anti-abortion-misinformation-promoted-during-coronavirus-pandemic
https://www.mediamatters.org/	https://www.mediamatters.org/broadcast-networks/three-years-corporate-broadcast-news-hurricane-coverage-failed-mention-specific
https://www.mediamatters.org/	https://www.mediamatters.org/#main-content
https://www.mediamatters.org/	https://www.mediamatters.org/daily-wire/daily-wire-host-its-not-possible-support-your-country-support-your-family-and-also
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/crime-and-criminal-justice/fox-news-deceptively-edits-video-police-officers-wrongfully-handcuffing
https://www.mediamatters.org/	https://www.mediamatters.org/crime-and-criminal-justice/fox-news-anchor-helps-william-barr-falsely-claim-protesters-threw
https://www.mediamatters.org/	https://www.mediamatters.org/#search
https://www.mediamatters.org/	https://www.mediamatters.org/black-lives-matter/fox-news-hypes-baseless-fears-violent-antifa-protesters-amid-reports-white
https://www.mediamatters.org/	https://www.mediamatters.org/diversity-discrimination/fox-contributor-gets-history-horribly-wrong-discussion-renaming-bases
https://www.mediamatters.org/	https://www.mediamatters.org/#narrative
https://www.mediamatters.org/	https://www.mediamatters.org/#video
https://www.mediamatters.org/	https://www.mediamatters.org/broadcast-networks/corporate-tv-news-largely-ignored-relationship-between-environmental-justice-and
https://www.mediamatters.org/	https://www.mediamatters.org/daily-wire/daily-wire-hosts-demean-trans-high-school-athletes-center-alliance-defending-case
https://www.mediamatters.org/	https://www.mediamatters.org/karl-rove/despite-network-policy-foxs-karl-rove-advising-and-campaigning-numerous-gop-organizations
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/fox-news-ignoring-trumps-conspiracy-theory-about-joe-scarborough-while-sean-hannity
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/politics
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/write-for-us
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/sitemap
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-180x180.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2020/06/09/were-in-a-recession-by-the-way-788358
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/9f68bc0/2147483647/thumbnail/72x72/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-32x32.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/fourth-estate
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/faq
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/trade
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/ehealth
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/sustainability
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/06/10/trump-campaign-rally-tulsa-311516
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/06/10/states-cities-losing-jobs-economic-aid-311600
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/transportation
https://www.politico.com/tipsheets/morning-money	http://go.politicoemail.com/?qs=647051eaaf5a17e435c62b1e51bb435cae332e0778baa79a09f82103fad45c491cda164b42b1548c5028d2b098ae90d5
https://www.politico.com/tipsheets/morning-money	https://www.wsj.com/articles/global-stock-markets-dow-update-6-10-2020-11591764401?mod=markets_lead_pos1
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/matt-wuerker
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/cartoon-carousel
https://www.politico.com/tipsheets/morning-money	https://www.facebook.com/politico/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters
